Array count,Array size,Sorter,Time
10,8,own sorting network,4911200
10,8,openmp sorting network,3600
10,8,sequential sorting network,4000
10,8,std::sort,3500
20,8,own sorting network,15284100
20,8,openmp sorting network,10600
20,8,sequential sorting network,10800
20,8,std::sort,8900
30,8,own sorting network,33223200
30,8,openmp sorting network,24500
30,8,sequential sorting network,21600
30,8,std::sort,17100
40,8,own sorting network,55484200
40,8,openmp sorting network,42200
40,8,sequential sorting network,39500
40,8,std::sort,31600
50,8,own sorting network,83288400
50,8,openmp sorting network,61100
50,8,sequential sorting network,55900
50,8,std::sort,47900
60,8,own sorting network,115814700
60,8,openmp sorting network,81100
60,8,sequential sorting network,75300
60,8,std::sort,69000
70,8,own sorting network,152696300
70,8,openmp sorting network,103900
70,8,sequential sorting network,98000
70,8,std::sort,86300
80,8,own sorting network,198849000
80,8,openmp sorting network,129800
80,8,sequential sorting network,124600
80,8,std::sort,106600
90,8,own sorting network,247417700
90,8,openmp sorting network,157000
90,8,sequential sorting network,152900
90,8,std::sort,127000
100,8,own sorting network,298732600
100,8,openmp sorting network,189000
100,8,sequential sorting network,185000
100,8,std::sort,151000
10,16,own sorting network,16619400
10,16,openmp sorting network,10000
10,16,sequential sorting network,10300
10,16,std::sort,6500
20,16,own sorting network,49576000
20,16,openmp sorting network,29300
20,16,sequential sorting network,30100
20,16,std::sort,18800
30,16,own sorting network,98570900
30,16,openmp sorting network,58300
30,16,sequential sorting network,59900
30,16,std::sort,36700
40,16,own sorting network,163138300
40,16,openmp sorting network,97000
40,16,sequential sorting network,99900
40,16,std::sort,58400
50,16,own sorting network,242874900
50,16,openmp sorting network,144700
50,16,sequential sorting network,148800
50,16,std::sort,86600
60,16,own sorting network,340675400
60,16,openmp sorting network,202100
60,16,sequential sorting network,207000
60,16,std::sort,119900
70,16,own sorting network,453184300
70,16,openmp sorting network,275200
70,16,sequential sorting network,273300
70,16,std::sort,160600
80,16,own sorting network,582503100
80,16,openmp sorting network,351100
80,16,sequential sorting network,349000
80,16,std::sort,204500
90,16,own sorting network,726313800
90,16,openmp sorting network,439200
90,16,sequential sorting network,434300
90,16,std::sort,253700
100,16,own sorting network,887233900
100,16,openmp sorting network,534900
100,16,sequential sorting network,530300
100,16,std::sort,307800
10,24,own sorting network,36466800
10,24,openmp sorting network,19900
10,24,sequential sorting network,19700
10,24,std::sort,13100
20,24,own sorting network,109017700
20,24,openmp sorting network,56600
20,24,sequential sorting network,56800
20,24,std::sort,36100
30,24,own sorting network,220772200
30,24,openmp sorting network,112400
30,24,sequential sorting network,113500
30,24,std::sort,69400
40,24,own sorting network,367217500
40,24,openmp sorting network,185400
40,24,sequential sorting network,186700
40,24,std::sort,113900
50,24,own sorting network,552135600
50,24,openmp sorting network,277300
50,24,sequential sorting network,278800
50,24,std::sort,167000
60,24,own sorting network,773579300
60,24,openmp sorting network,387100
60,24,sequential sorting network,390400
60,24,std::sort,232200
70,24,own sorting network,1035602200
70,24,openmp sorting network,515500
70,24,sequential sorting network,521100
70,24,std::sort,306700
80,24,own sorting network,1332646600
80,24,openmp sorting network,662300
80,24,sequential sorting network,668900
80,24,std::sort,391800
90,24,own sorting network,1666770700
90,24,openmp sorting network,825700
90,24,sequential sorting network,849400
90,24,std::sort,486900
100,24,own sorting network,2158678300
100,24,openmp sorting network,1207500
100,24,sequential sorting network,1102200
100,24,std::sort,630500
10,32,own sorting network,66301600
10,32,openmp sorting network,44200
10,32,sequential sorting network,52200
10,32,std::sort,25400
20,32,own sorting network,190058900
20,32,openmp sorting network,108600
20,32,sequential sorting network,109700
20,32,std::sort,60400
30,32,own sorting network,371637700
30,32,openmp sorting network,254700
30,32,sequential sorting network,193500
30,32,std::sort,110100
40,32,own sorting network,586993200
40,32,openmp sorting network,360400
40,32,sequential sorting network,325800
40,32,std::sort,175700
50,32,own sorting network,844939300
50,32,openmp sorting network,492200
50,32,sequential sorting network,467000
50,32,std::sort,253300
60,32,own sorting network,1150449300
60,32,openmp sorting network,648100
60,32,sequential sorting network,624000
60,32,std::sort,345100
70,32,own sorting network,1498156100
70,32,openmp sorting network,840400
70,32,sequential sorting network,810800
70,32,std::sort,453500
80,32,own sorting network,1895379800
80,32,openmp sorting network,1050600
80,32,sequential sorting network,1029000
80,32,std::sort,574800
90,32,own sorting network,2351355700
90,32,openmp sorting network,1290600
90,32,sequential sorting network,1269800
90,32,std::sort,711400
100,32,own sorting network,2849434800
100,32,openmp sorting network,1548600
100,32,sequential sorting network,1529900
100,32,std::sort,871900
10,40,own sorting network,85354900
10,40,openmp sorting network,43000
10,40,sequential sorting network,42700
10,40,std::sort,22000
20,40,own sorting network,255393300
20,40,openmp sorting network,123800
20,40,sequential sorting network,124300
20,40,std::sort,63400
30,40,own sorting network,513096000
30,40,openmp sorting network,242500
30,40,sequential sorting network,245200
30,40,std::sort,125300
40,40,own sorting network,859622700
40,40,openmp sorting network,423500
40,40,sequential sorting network,395300
40,40,std::sort,202900
50,40,own sorting network,1290306400
50,40,openmp sorting network,622500
50,40,sequential sorting network,603200
50,40,std::sort,304800
60,40,own sorting network,1806953100
60,40,openmp sorting network,859700
60,40,sequential sorting network,854400
60,40,std::sort,425500
70,40,own sorting network,2428980300
70,40,openmp sorting network,1140100
70,40,sequential sorting network,1145000
70,40,std::sort,566900
80,40,own sorting network,3139949800
80,40,openmp sorting network,1466300
80,40,sequential sorting network,1470400
80,40,std::sort,728300
90,40,own sorting network,3927327300
90,40,openmp sorting network,1828400
90,40,sequential sorting network,1831800
90,40,std::sort,909800
100,40,own sorting network,4847668900
100,40,openmp sorting network,2231600
100,40,sequential sorting network,2232100
100,40,std::sort,1111800
10,48,own sorting network,107748000
10,48,openmp sorting network,51900
10,48,sequential sorting network,51500
10,48,std::sort,27300
20,48,own sorting network,314750900
20,48,openmp sorting network,153700
20,48,sequential sorting network,152600
20,48,std::sort,89700
30,48,own sorting network,619283800
30,48,openmp sorting network,310800
30,48,sequential sorting network,302600
30,48,std::sort,166800
40,48,own sorting network,1028668100
40,48,openmp sorting network,510900
40,48,sequential sorting network,502200
40,48,std::sort,268900
50,48,own sorting network,1539857200
50,48,openmp sorting network,756200
50,48,sequential sorting network,760400
50,48,std::sort,394300
60,48,own sorting network,2158727800
60,48,openmp sorting network,1051200
60,48,sequential sorting network,1057900
60,48,std::sort,546800
70,48,own sorting network,2884163000
70,48,openmp sorting network,1395400
70,48,sequential sorting network,1425300
70,48,std::sort,723300
80,48,own sorting network,3700920300
80,48,openmp sorting network,1796600
80,48,sequential sorting network,1820900
80,48,std::sort,933800
90,48,own sorting network,4609598100
90,48,openmp sorting network,2241100
90,48,sequential sorting network,2281300
90,48,std::sort,1161500
100,48,own sorting network,5636074800
100,48,openmp sorting network,2732200
100,48,sequential sorting network,2799000
100,48,std::sort,1414100
10,56,own sorting network,115876600
10,56,openmp sorting network,64600
10,56,sequential sorting network,61500
10,56,std::sort,32500
20,56,own sorting network,353959200
20,56,openmp sorting network,184900
20,56,sequential sorting network,183600
20,56,std::sort,95600
30,56,own sorting network,710434100
30,56,openmp sorting network,364300
30,56,sequential sorting network,363400
30,56,std::sort,189200
40,56,own sorting network,1186652600
40,56,openmp sorting network,601300
40,56,sequential sorting network,601700
40,56,std::sort,314000
50,56,own sorting network,1777012800
50,56,openmp sorting network,906300
50,56,sequential sorting network,905100
50,56,std::sort,467000
60,56,own sorting network,2488272400
60,56,openmp sorting network,1259000
60,56,sequential sorting network,1271200
60,56,std::sort,649300
70,56,own sorting network,3318503200
70,56,openmp sorting network,1750100
70,56,sequential sorting network,1730100
70,56,std::sort,877900
80,56,own sorting network,4278484700
80,56,openmp sorting network,2228400
80,56,sequential sorting network,2213000
80,56,std::sort,1121100
90,56,own sorting network,5356090900
90,56,openmp sorting network,2757600
90,56,sequential sorting network,2750400
90,56,std::sort,1393500
100,56,own sorting network,6550263100
100,56,openmp sorting network,3351600
100,56,sequential sorting network,3350900
100,56,std::sort,1698000
10,64,own sorting network,136515500
10,64,openmp sorting network,75000
10,64,sequential sorting network,85400
10,64,std::sort,52500
20,64,own sorting network,410560600
20,64,openmp sorting network,220900
20,64,sequential sorting network,236900
20,64,std::sort,125400
30,64,own sorting network,822725200
30,64,openmp sorting network,434400
30,64,sequential sorting network,456700
30,64,std::sort,234700
40,64,own sorting network,1367522000
40,64,openmp sorting network,718200
40,64,sequential sorting network,740400
40,64,std::sort,379100
50,64,own sorting network,2053355400
50,64,openmp sorting network,1115200
50,64,sequential sorting network,1122800
50,64,std::sort,567100
60,64,own sorting network,2876187300
60,64,openmp sorting network,1553300
60,64,sequential sorting network,1548100
60,64,std::sort,791900
70,64,own sorting network,3827555200
70,64,openmp sorting network,2051000
70,64,sequential sorting network,2042900
70,64,std::sort,1051400
80,64,own sorting network,4914795700
80,64,openmp sorting network,2619600
80,64,sequential sorting network,2613300
80,64,std::sort,1338000
90,64,own sorting network,6156286600
90,64,openmp sorting network,3261800
90,64,sequential sorting network,3253500
90,64,std::sort,1667900
100,64,own sorting network,7590147000
100,64,openmp sorting network,4079500
100,64,sequential sorting network,4092000
100,64,std::sort,2056800
10,72,own sorting network,227383000
10,72,openmp sorting network,97500
10,72,sequential sorting network,96900
10,72,std::sort,43200
20,72,own sorting network,668245200
20,72,openmp sorting network,295800
20,72,sequential sorting network,296200
20,72,std::sort,131000
30,72,own sorting network,1299728000
30,72,openmp sorting network,584300
30,72,sequential sorting network,607000
30,72,std::sort,257000
40,72,own sorting network,2122108200
40,72,openmp sorting network,967400
40,72,sequential sorting network,986200
40,72,std::sort,421400
50,72,own sorting network,3185128800
50,72,openmp sorting network,1462900
50,72,sequential sorting network,1474900
50,72,std::sort,629300
60,72,own sorting network,4484988200
60,72,openmp sorting network,2050100
60,72,sequential sorting network,2073700
60,72,std::sort,889900
70,72,own sorting network,6033437900
70,72,openmp sorting network,2740600
70,72,sequential sorting network,2826500
70,72,std::sort,1208200
80,72,own sorting network,7792826800
80,72,openmp sorting network,3504300
80,72,sequential sorting network,3592600
80,72,std::sort,1568700
90,72,own sorting network,9826713000
90,72,openmp sorting network,4356700
90,72,sequential sorting network,4451800
90,72,std::sort,1954200
100,72,own sorting network,11905354100
100,72,openmp sorting network,5305500
100,72,sequential sorting network,5415700
100,72,std::sort,2372200
10,80,own sorting network,233485900
10,80,openmp sorting network,118700
10,80,sequential sorting network,107600
10,80,std::sort,48900
20,80,own sorting network,708698900
20,80,openmp sorting network,333100
20,80,sequential sorting network,330000
20,80,std::sort,143000
30,80,own sorting network,1510368000
30,80,openmp sorting network,726200
30,80,sequential sorting network,716100
30,80,std::sort,311700
40,80,own sorting network,2535097500
40,80,openmp sorting network,1185300
40,80,sequential sorting network,1174000
40,80,std::sort,531000
50,80,own sorting network,3859694700
50,80,openmp sorting network,1774200
50,80,sequential sorting network,1803300
50,80,std::sort,851400
60,80,own sorting network,5482487000
60,80,openmp sorting network,2522500
60,80,sequential sorting network,2593300
60,80,std::sort,1187900
70,80,own sorting network,7334995000
70,80,openmp sorting network,3321700
70,80,sequential sorting network,3443400
70,80,std::sort,1545300
80,80,own sorting network,9493643400
80,80,openmp sorting network,4330500
80,80,sequential sorting network,4441700
80,80,std::sort,2008500
90,80,own sorting network,11653449700
90,80,openmp sorting network,5323400
90,80,sequential sorting network,5510600
90,80,std::sort,2491000
100,80,own sorting network,13978565400
100,80,openmp sorting network,6476100
100,80,sequential sorting network,6692300
100,80,std::sort,3009800
10,88,own sorting network,250615500
10,88,openmp sorting network,124400
10,88,sequential sorting network,132300
10,88,std::sort,59300
20,88,own sorting network,757471100
20,88,openmp sorting network,360300
20,88,sequential sorting network,372700
20,88,std::sort,165300
30,88,own sorting network,1563152200
30,88,openmp sorting network,748500
30,88,sequential sorting network,773600
30,88,std::sort,338500
40,88,own sorting network,2633935200
40,88,openmp sorting network,1219100
40,88,sequential sorting network,1252600
40,88,std::sort,548600
50,88,own sorting network,3951120300
50,88,openmp sorting network,1912200
50,88,sequential sorting network,1946300
50,88,std::sort,845200
60,88,own sorting network,5552596900
60,88,openmp sorting network,2672500
60,88,sequential sorting network,2766700
60,88,std::sort,1207500
70,88,own sorting network,7345269100
70,88,openmp sorting network,3493700
70,88,sequential sorting network,3624200
70,88,std::sort,1600800
80,88,own sorting network,9386807000
80,88,openmp sorting network,4485000
80,88,sequential sorting network,4672600
80,88,std::sort,2074000
90,88,own sorting network,11706892900
90,88,openmp sorting network,5680700
90,88,sequential sorting network,5923900
90,88,std::sort,2618200
100,88,own sorting network,14335419100
100,88,openmp sorting network,6875900
100,88,sequential sorting network,7330600
100,88,std::sort,3205400
10,96,own sorting network,282390400
10,96,openmp sorting network,131100
10,96,sequential sorting network,131000
10,96,std::sort,66900
20,96,own sorting network,848500700
20,96,openmp sorting network,416800
20,96,sequential sorting network,425700
20,96,std::sort,192900
30,96,own sorting network,1705435600
30,96,openmp sorting network,827200
30,96,sequential sorting network,814900
30,96,std::sort,367400
40,96,own sorting network,2836663000
40,96,openmp sorting network,1370100
40,96,sequential sorting network,1354100
40,96,std::sort,604000
50,96,own sorting network,4319377800
50,96,openmp sorting network,2165700
50,96,sequential sorting network,2163900
50,96,std::sort,957500
60,96,own sorting network,6004970300
60,96,openmp sorting network,2961100
60,96,sequential sorting network,3036200
60,96,std::sort,1354000
70,96,own sorting network,8061372000
70,96,openmp sorting network,3866500
70,96,sequential sorting network,3966100
70,96,std::sort,1760000
80,96,own sorting network,10488776200
80,96,openmp sorting network,7609400
80,96,sequential sorting network,6426100
80,96,std::sort,2541100
90,96,own sorting network,13069133100
90,96,openmp sorting network,8862400
90,96,sequential sorting network,7673700
90,96,std::sort,3092700
100,96,own sorting network,16014146200
100,96,openmp sorting network,10382100
100,96,sequential sorting network,9212300
100,96,std::sort,3713400
10,104,own sorting network,332879600
10,104,openmp sorting network,223200
10,104,sequential sorting network,175200
10,104,std::sort,69900
20,104,own sorting network,960959900
20,104,openmp sorting network,526500
20,104,sequential sorting network,468400
20,104,std::sort,203800
30,104,own sorting network,1906605300
30,104,openmp sorting network,999000
30,104,sequential sorting network,960000
30,104,std::sort,414200
40,104,own sorting network,3154223700
40,104,openmp sorting network,1574200
40,104,sequential sorting network,1558700
40,104,std::sort,685300
50,104,own sorting network,4695832800
50,104,openmp sorting network,2298300
50,104,sequential sorting network,2283800
50,104,std::sort,1004200
60,104,own sorting network,6570462200
60,104,openmp sorting network,3185600
60,104,sequential sorting network,3216300
60,104,std::sort,1419400
70,104,own sorting network,8721975800
70,104,openmp sorting network,4295200
70,104,sequential sorting network,4249500
70,104,std::sort,1873000
80,104,own sorting network,11238924300
80,104,openmp sorting network,5450300
80,104,sequential sorting network,5510600
80,104,std::sort,2432900
90,104,own sorting network,14018544300
90,104,openmp sorting network,6826700
90,104,sequential sorting network,7003700
90,104,std::sort,3013500
100,104,own sorting network,17136590900
100,104,openmp sorting network,8370700
100,104,sequential sorting network,8654000
100,104,std::sort,3795800
10,112,own sorting network,334838200
10,112,openmp sorting network,162500
10,112,sequential sorting network,164400
10,112,std::sort,79900
20,112,own sorting network,1012327900
20,112,openmp sorting network,483200
20,112,sequential sorting network,479100
20,112,std::sort,221000
30,112,own sorting network,2006761400
30,112,openmp sorting network,954800
30,112,sequential sorting network,945300
30,112,std::sort,530900
40,112,own sorting network,3321072200
40,112,openmp sorting network,1569600
40,112,sequential sorting network,1573700
40,112,std::sort,828500
50,112,own sorting network,4954017100
50,112,openmp sorting network,2364400
50,112,sequential sorting network,2429800
50,112,std::sort,1226200
60,112,own sorting network,6907845200
60,112,openmp sorting network,3368700
60,112,sequential sorting network,3477000
60,112,std::sort,1756700
70,112,own sorting network,9724263400
70,112,openmp sorting network,4880400
70,112,sequential sorting network,4958200
70,112,std::sort,2417900
80,112,own sorting network,13123230200
80,112,openmp sorting network,6530500
80,112,sequential sorting network,6650200
80,112,std::sort,3194700
90,112,own sorting network,17182414300
90,112,openmp sorting network,8560000
90,112,sequential sorting network,8660300
90,112,std::sort,4095800
100,112,own sorting network,22045109700
100,112,openmp sorting network,10712900
100,112,sequential sorting network,10910800
100,112,std::sort,5061900
10,120,own sorting network,495669300
10,120,openmp sorting network,252500
10,120,sequential sorting network,242700
10,120,std::sort,109900
20,120,own sorting network,1453054900
20,120,openmp sorting network,724500
20,120,sequential sorting network,713800
20,120,std::sort,329000
30,120,own sorting network,2859723600
30,120,openmp sorting network,1429500
30,120,sequential sorting network,1415600
30,120,std::sort,643900
40,120,own sorting network,4723712600
40,120,openmp sorting network,2353000
40,120,sequential sorting network,2338700
40,120,std::sort,1048800
50,120,own sorting network,7000141100
50,120,openmp sorting network,3468100
50,120,sequential sorting network,3445800
50,120,std::sort,1540700
60,120,own sorting network,9759863500
60,120,openmp sorting network,4778300
60,120,sequential sorting network,4772400
60,120,std::sort,2134800
70,120,own sorting network,12949325600
70,120,openmp sorting network,6277100
70,120,sequential sorting network,6275700
70,120,std::sort,2812900
80,120,own sorting network,16464046500
80,120,openmp sorting network,8062800
80,120,sequential sorting network,8084400
80,120,std::sort,3606700
90,120,own sorting network,20530526400
90,120,openmp sorting network,10054900
90,120,sequential sorting network,10074700
90,120,std::sort,4500600
100,120,own sorting network,24975978600
100,120,openmp sorting network,12254600
100,120,sequential sorting network,12339600
100,120,std::sort,5486700
10,128,own sorting network,501273600
10,128,openmp sorting network,255700
10,128,sequential sorting network,246500
10,128,std::sort,111700
20,128,own sorting network,1577019000
20,128,openmp sorting network,797600
20,128,sequential sorting network,794200
20,128,std::sort,356400
30,128,own sorting network,3438747900
30,128,openmp sorting network,1747300
30,128,sequential sorting network,1727700
30,128,std::sort,747300
40,128,own sorting network,5631035300
40,128,openmp sorting network,2639100
40,128,sequential sorting network,2622700
40,128,std::sort,1346700
50,128,own sorting network,8018538400
50,128,openmp sorting network,4086900
50,128,sequential sorting network,4052900
50,128,std::sort,1974700
60,128,own sorting network,11049211400
60,128,openmp sorting network,5417500
60,128,sequential sorting network,5414300
60,128,std::sort,2583900
70,128,own sorting network,14157063500
70,128,openmp sorting network,6984900
70,128,sequential sorting network,6998600
70,128,std::sort,3263800
80,128,own sorting network,17828331300
80,128,openmp sorting network,8761200
80,128,sequential sorting network,8806600
80,128,std::sort,4044100
90,128,own sorting network,21645414300
90,128,openmp sorting network,10729800
90,128,sequential sorting network,10773300
90,128,std::sort,4928300
100,128,own sorting network,25870165900
100,128,openmp sorting network,12874400
100,128,sequential sorting network,12897100
100,128,std::sort,5875800
10,136,own sorting network,576610200
10,136,openmp sorting network,267200
10,136,sequential sorting network,260000
10,136,std::sort,101300
20,136,own sorting network,1739091100
20,136,openmp sorting network,795400
20,136,sequential sorting network,780400
20,136,std::sort,305000
30,136,own sorting network,3455798200
30,136,openmp sorting network,1620100
30,136,sequential sorting network,1576700
30,136,std::sort,622200
40,136,own sorting network,5738532900
